steps,avg_reward,success_rate,sps
100000,17.518431965143826,0.0,1258
200000,17.355827289724257,0.0,1250
300000,17.972984275400812,0.0,1250
400000,17.37748173130298,0.0,1246
500000,16.697114132326096,0.0,1251
600000,15.838396108285524,0.0,1253
700000,16.848328895663144,0.0,1250
800000,10.16547749926045,0.0,1239
900000,12.368834989131429,0.0,1240
1000000,13.0245232593744,0.0,1238
1100000,12.627840039441361,0.0,1233
1200000,23.967542895320804,0.0,1234
1300000,21.474643016159533,0.0,1238
1400000,12.79319587573642,0.0,1242
1500000,17.025811581528178,0.0,1245
1600000,16.870533335041255,0.0,1247
1700000,17.347727017141878,0.0,1250
1800000,18.34191945578903,0.0,1252
1900000,17.66514117959887,0.0,1255
2000000,16.021585039292063,0.0,1255
2100000,16.573022791333496,0.0,1257
2200000,16.64567121863365,0.0,1258
2300000,16.100999853238463,0.0,1260
2400000,15.895135903116316,0.0,1261
2500000,15.892176373759284,0.0,1262
2600000,16.097892238516362,0.0,1263
2700000,15.771279539372772,0.0,1265
2800000,8.627665805332363,0.0,1266
2900000,11.555163773918174,0.0,1260
3000000,10.619904135051657,0.0,1252
3100000,10.7418010187264,0.0,1241
3200000,11.387597885970026,0.0,1239
3300000,15.619389249142259,0.0,1240
3400000,15.143360895458608,0.0,1241
3500000,14.130919383680448,0.0,1242
3600000,15.129742485489697,0.0,1242
3700000,15.198531463257968,0.0,1243
3800000,18.087987083736806,0.0,1238
3900000,17.01572668192908,0.0,1233
4000000,10.39783797271084,0.0,1229
4100000,18.422630909979343,0.0,1225
4200000,17.84625437822193,0.0,1221
4300000,17.367430888474917,0.0,1216
4400000,16.78040301467292,0.0,1211
4500000,17.126203857755172,0.0,1207
4600000,12.508446729755379,0.0,1202
4700000,17.601467355787754,0.0,1199
4800000,17.410595433991404,0.0,1196
4900000,17.800922364238648,0.0,1195
5000000,15.368146237378824,0.0,1192
5100000,16.9860802917555,0.0,1190
5200000,16.990352123193443,0.0,1188
5300000,16.845334771983325,0.0,1187
5400000,16.631682188045232,0.0,1185
5500000,15.687562035657466,0.0,1182
5600000,14.207451659589934,0.0,1180
5700000,16.606572290956976,0.0,1177
5800000,16.522904995679855,0.0,1175
5900000,17.013178563797847,0.0,1174
6000000,16.505009775590153,0.0,1172
6100000,15.662581315357238,0.0,1170
6200000,16.627806263621896,0.0,1168
6300000,16.05559636093676,0.0,1167
6400000,16.58927861889824,0.0,1165
6500000,14.887633159017422,0.0,1164
6600000,16.517115223836154,0.0,1163
6700000,15.693029714059085,0.0,1161
6800000,16.973108587386086,0.0,1159
6900000,16.325565255740656,0.0,1157
7000000,16.40144154903479,0.0,1156
7100000,15.745202482574205,0.02,1156
7200000,14.945434625368216,0.0,1155
7300000,17.37659791046055,0.0,1154
7400000,15.86321713150479,0.0,1153
7500000,18.324122908134015,0.0,1152
7600000,16.21673818022944,0.0,1150
7700000,14.288960441024974,0.0,1148
7800000,20.52132925434038,0.02,1148
7900000,13.746385151780268,0.0,1147
8000000,20.792457531075925,0.0,1147
8100000,16.730499280696268,0.0,1146
8200000,20.271328550940378,0.0,1145
8300000,20.156900488566606,0.0,1145
8400000,20.173562812265008,0.0,1144
8500000,20.64389399221167,0.0,1143
8600000,20.233484874509667,0.0,1143
