update,global_step,lr,avg_reward,rolling_mean_10,avg_success,rolling_success_10,pg_loss,v_loss,arch_loss,angle_loss,mean_logstd,k_active,top_arch,top_prob,sps,A0_H_rx_chain_rx,A1_H_rx_chain_ry,A2_H_rx_chain_rz,A3_H_ry_chain_rx,A4_H_ry_chain_ry,A5_H_ry_chain_rz,A6_NoH_rx_chain_rx,A7_NoH_rx_chain_ry,A8_NoH_rx_chain_rz,A9_NoH_ry_chain_rx,A10_NoH_ry_chain_ry,A11_NoH_ry_chain_rz
1,32768,0.0003,0.45445978288677635,0.45445978288677635,0.0,0.0,-0.11489561200141907,0.01133466325700283,0.049642857164144516,0.0,-0.49974507093429565,3,1,0.10189936310052872,161.96396209117398,0.09167499840259552,0.10189936310052872,0.08068455755710602,0.08052965253591537,0.08057846873998642,0.08079347014427185,0.08056424558162689,0.08066411316394806,0.08051300793886185,0.08059734106063843,0.08073044568300247,0.08077035844326019
2,65536,0.00029986,0.4304179954915478,0.4424388891891621,0.0,0.0,0.07296738773584366,0.007854802533984184,0.04931967332959175,0.0,-0.5045982003211975,3,1,0.12692837417125702,162.69214060825033,0.1127987653017044,0.12692837417125702,0.07775405049324036,0.06488577276468277,0.07394241541624069,0.07919108867645264,0.07444638758897781,0.07870844006538391,0.07502202689647675,0.07929776608943939,0.07926338911056519,0.07776148617267609
3,98304,0.00029972,0.41868435307650986,0.43452071048494467,0.0,0.0,0.06253895908594131,0.00792998168617487,0.04742727801203728,0.0,-0.510974109172821,3,1,0.18179664015769958,162.77212544009194,0.1659497618675232,0.18179664015769958,0.06341216713190079,0.03779849410057068,0.05217139422893524,0.07668019086122513,0.05194574594497681,0.08256293088197708,0.05598614737391472,0.08351703733205795,0.08091399818658829,0.06726549565792084
4,131072,0.00029958000000000003,0.44021948247751114,0.4359454034830863,0.0,0.0,-0.0349775105714798,0.008173154667019844,0.04000909626483917,0.0,-0.5122992396354675,3,0,0.29886364936828613,162.5359334102074,0.29886364936828613,0.28598788380622864,0.03092874400317669,0.020100580528378487,0.026082687079906464,0.047375019639730453,0.025770243257284164,0.07405363768339157,0.02788667194545269,0.07091294229030609,0.058072250336408615,0.033965714275836945
5,163840,0.00029944,0.4625521652484193,0.44126675583615294,0.0,0.0,0.08780212700366974,0.023069582879543304,0.029919832944869995,0.0,-0.5167713165283203,3,0,0.4491400122642517,162.23416469560118,0.4491400122642517,0.34642213582992554,0.014112144708633423,0.010019905865192413,0.012374520301818848,0.020607920363545418,0.012230386026203632,0.04504544660449028,0.013063802383840084,0.03623161464929581,0.025478065013885498,0.015273974277079105
6,196608,0.0002993,0.4903410181476078,0.44944579955472874,0.0,0.0,-0.04389290511608124,0.029410354793071747,0.022895479574799538,0.0,-0.5217885971069336,3,0,0.5752505660057068,161.9215316733621,0.5752505660057068,0.3206692039966583,0.0072012413293123245,0.005327940918505192,0.006424210965633392,0.01013703178614378,0.006353443022817373,0.0240795835852623,0.006740307901054621,0.017760636284947395,0.01232490036636591,0.007730941753834486
7,229376,0.00029916000000000003,0.5168129271684505,0.4590696749281176,0.0,0.0,-0.052546266466379166,0.028799083083868027,0.01759047992527485,0.0,-0.5221258401870728,3,0,0.7050257325172424,161.67362570159045,0.7050257325172424,0.2369556725025177,0.004065109416842461,0.003078270237892866,0.003660795511677861,0.005596886854618788,0.0036222010385245085,0.013466807082295418,0.0038274230901151896,0.00963084027171135,0.006726882886141539,0.004343371372669935
8,262144,0.00029902,0.5542250227032164,0.4709640934000049,0.0,0.0,0.031013816595077515,0.032386790961027145,0.013043973594903946,0.0,-0.5267347097396851,3,0,0.8097432255744934,161.4476940677356,0.8097432255744934,0.15580402314662933,0.002445557853206992,0.0018797822995111346,0.002215494867414236,0.003317767521366477,0.002192908199504018,0.007912336848676205,0.002311041811481118,0.005617066286504269,0.0039560007862746716,0.002604767680168152
9,294912,0.00029888,0.6108767702297289,0.48650994638108536,0.0,0.0,-0.08021633327007294,0.053065937012434006,0.009359206072986126,0.0,-0.5328165292739868,3,0,0.8807058930397034,161.2766351317069,0.8807058930397034,0.098117396235466,0.0015177387977018952,0.0011795820901170373,0.0013809599913656712,0.0020362187642604113,0.0013672761851921678,0.004831517580896616,0.0014380610082298517,0.003399594919756055,0.0024131531827151775,0.0016127323033288121
10,327680,0.00029874,0.6082135115614271,0.4986803028991195,0.0,0.0,0.02757827751338482,0.0465640053153038,0.006695397198200226,0.0,-0.5402224659919739,3,0,0.9241465926170349,161.21476150171668,0.9241465926170349,0.0621078759431839,0.00099445681553334,0.0007791536627337337,0.0009076865972019732,0.0013232146156951785,0.0008988960180431604,0.0030973872635513544,0.0009440373396500945,0.0021848997566848993,0.001561062759719789,0.0010548594873398542
11,360448,0.0002986,0.6240367777052236,0.5156380023809642,0.0,0.0,0.07704877108335495,0.06979484856128693,0.004723579157143831,0.0,-0.5467617511749268,3,0,0.9520525932312012,161.19392630990757,0.9520525932312012,0.038761403411626816,0.0006695703486911952,0.0005280217155814171,0.000612678355537355,0.0008849736186675727,0.0006068639922887087,0.0020501986145973206,0.0006365745211951435,0.0014476636424660683,0.00104019814170897,0.0007092340965755284
12,393216,0.00029845999999999996,0.6051499756581299,0.5331112003976224,0.0,0.0,-0.08041583001613617,0.02312615141272545,0.0034371414221823215,0.0,-0.5498372316360474,3,0,0.967971682548523,161.24552555525898,0.967971682548523,0.025646647438406944,0.00046841250150464475,0.0003715353668667376,0.00042956287506967783,0.0006153722642920911,0.0004255636304151267,0.0014108726754784584,0.00044591387268155813,0.0009979723254218698,0.0007209070608951151,0.0004955236217938364
13,425984,0.0002983199999999999,0.5626502501161936,0.5475077901015908,0.0,0.0,-6.50063157081604e-07,0.023289866745471954,0.002558839973062277,0.0,-0.553197979927063,3,0,0.9778008460998535,161.35159310937576,0.9778008460998535,0.017618762329220772,0.00033844506833702326,0.0002698581665754318,0.00031099285115487874,0.00044219382107257843,0.0003081501054111868,0.0010027815587818623,0.00032256703707389534,0.0007114048348739743,0.0005164698814041913,0.00035761756589636207
